// ============================================================================
// ACME Civil Contractors - Comprehensive Takeoff Edge Case Testing Suite
// Project: Highland Mixed-Use Commercial Phase 2
// Prepared By: Chief Estimator (Rev 4 Addendum 2)
// ============================================================================
// Notice: Contains multi-line descriptions (Alt+Enter), dirty unit strings,
// accounting formats ($ and commas), subtotal sum rows, category banners,
// and side-by-side scope columns.
// ============================================================================

Trade / Phase,Line Item Description,Material Spec & Class,Takeoff Qty,UOM,Cut Depth (ft),,Division / Utility,Work Description,Pipe Size / Rating,Quantity,Units,Trench Depth
=== DIVISION 02 - EARTHWORK & DEMOLITION ===,,,,,,,,,,,,
Site Grading,"Mass Excavation & Export
Native Clay & Silt Soil
Moisture Conditioning Required",Unclassified Cut,"12,450.00",CU YD,8.5,,Paving & Surface,"Asphalt Surface Course
1/2 inch Superpave
PG 64-22 Binder",Type S-4,"3,200",SQ YD,
Site Grading,Engineered Fill & Structural Compaction,95% Modified Proctor,"8,900",CY,6.0,,Paving & Surface,Aggregate Base Course,Crushed Stone Class 5,"1,850",TON,
Demolition,"Sawcut Existing Concrete Pavement
Depth 6 to 8 inches
Includes slurry vacuum",8" Reinforced Slab,"450.00 LF",LF,,,Paving & Surface,Concrete Curb and Gutter,Type A 24-inch,"1,120",lin ft,
SUBTOTAL - EARTHWORK,,,,21800,CY,,,,SUBTOTAL - PAVING,,,,6170,UN,
,,,,,,,,,,,,
=== DIVISION 33 - UTILITIES (WATER & SANITARY) ===,,,,,,,,,,,,
Water Distribution,"8-Inch C900 DR-18 Water Main
Includes tracer wire and poly wrap
Testing and chlorination per spec",8" C900 PVC,"1,250",Linear Feet,4.5,,Sanitary Sewer,"8-Inch SDR-35 Gravity Sewer Main
Class 1 Bedding
Air and mandrel testing included",8" PVC SDR-35,"880",LF,7.5
Water Distribution,Resilient Wedge Gate Valve,8" Mechanical Joint,"4",Each,,,Sanitary Sewer,Sanitary Sewer Manhole,48" Precast Concrete,"6",EA,8.0
Water Distribution,"Fire Hydrant Assembly Complete
6-inch shoe with 5-1/4 main valve
Traffic breakaway flange",Standard Mueller Super Centurion,"2",PCS,5.0,,Sanitary Sewer,Sanitary Service Lateral & Cleanout,6" SDR-35 w/ 2-way cleanout,"12",EA,4.0
Water Distribution,"Tapping Sleeve & Valve
Live tap on existing 12-inch DI line",12" x 8" Stainless Steel,"1",EA,,,Sanitary Sewer,"Drop Manhole Connection
Includes inside drop piping",8" SDR-26 PVC,"2",EA,10.5
SUBTOTAL - WATER,,,,1257,LF,,,,SUBTOTAL - SANITARY,,,,900,LF,
,,,,,,,,,,,,
=== DIVISION 33 - DRAINAGE & SPECIALTIES ===,,,,,,,,,,,,
Storm Drainage,"24-Inch Reinforced Concrete Pipe
Class III Rubber Gasketed
Bedding ASTM C-33 stone",24" RCP,"640.00",FT,6.0,,Specialty Structures,Oil / Water Separator Precast,1500 Gal Vault,"1",EA,12.0
Storm Drainage,Standard Curb Inlet Catch Basin,Type C 36" x 36","8",Ea,5.5,,Specialty Structures,"Underground Detention Vault
Arch Chamber System
Includes geotextile wrap",StormTech SC-740,"85",EA,
Storm Drainage,"48-Inch Precast Junction Box
Traffic rated frame and grate",48" Precast Box,"3",EA,7.0,,Specialty Structures,Rip-Rap Outfall Scour Protection,Class 2 Stone 12" D50,"45.0",TON,
Storm Drainage,Flared End Section with Trash Rack,24" Concrete FES,"2",EA,,,Specialty Structures,Silt Fence Sediment Barrier,Wire Backed Fabric,"1,500",LF,
SUBTOTAL - STORM DRAINAGE,,,,653,FT,,,,SUBTOTAL - SPECIALTIES,,,,1631,UN,
,,,,,,,,,,,,
GRAND TOTAL SUMMARY,,,,23710,TOTAL,,,,GRAND TOTAL SUMMARY,,,,8701,TOTAL,
Page 1 of 1 - Authorized Signature: _______________________ Date: 08/23/2026,,,,,,,,,,,,
